sentence,label
"there 's no disguising this as one of the worst films of the summer . or for the year , for that matter .",Negative
has all the complexity and realistic human behavior of an episode of general hospital .,Negative
the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense .,Negative
"this sensitive , smart , savvy , compelling coming-of-age drama delves into the passive-aggressive psychology of co-dependence and the struggle for self-esteem .",Positive
manages to accomplish what few sequels can -- it equals the original and in some ways even betters it .,Positive
bottom-rung new jack city wannabe .,Negative
several degrees shy of the gross-out contests one expects from current teen fare .,Positive
billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse .,Negative
strictly a 'guy 's film ' in the worst sense of the expression .,Negative
"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system .",Positive
you 're too conscious of the effort it takes to be this spontaneous .,Negative
"if only it were , well , funnier .",Negative
"mM-as sarcM-astica , divertida y demencial que su predecesora , es un buen ejemplo de lo que es el cine de entretenimiento puro y sin complejos .",Positive
"in the end , ted bundy 's only justification is the director 's common but unexplored fascination with the frustrated maniac ; there 's no larger point , and little social context .",Negative
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",Positive
"el peso de un lM-mquido incoloro , el peso del lM-mquido vital , del amor como elemento de vida , y de muerte . . .",Positive
`` the mothman prophecies `` is a difficult film to shake from your conscience when night falls .,Positive
"even with all its botches , enigma offers all the pleasure of a handsome and well-made entertainment .",Positive
beneath clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from rabbit-proof fence .,Positive
"the story loses its bite in a last-minute happy ending that 's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",Positive
long time dead ? not nearly long enough .,Negative
"if you like quirky , odd movies and/or the ironic , here 's a fun one .",Positive
has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act .,Negative
"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses .",Negative
"this is the kind of movie that used to be right at home at the saturday matinee , and it still is .",Positive
"life or something like it has its share of high points , but it misses too many opportunities .",Negative
"apparently kissing leads to suicide attempts and tragic deaths . marisa tomei is good , but just a kiss is just a mess .",Negative
"time out is as serious as a pink slip . and more than that , it 's an observant , unfussily poetic meditation about identity and alienation .",Positive
"impresses as a skillfully assembled , highly polished and professional adaptation . . . just about as chilling and unsettling as 'manhunter ' was .",Positive
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,Negative
a wannabe comedy of manners about a brainy prep-school kid with a mrs . robinson complex founders on its own preciousness -- and squanders its beautiful women .,Negative
what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .,Positive
"that rare film whose real-life basis is , in fact , so interesting that no embellishment is needed .",Positive
"the problem , amazingly enough , is the screenplay .",Negative
"in the end , there is n't much to it .",Negative
